                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.72786,                0.33987,                0.77979,                0.94986,                0.72351,                0.80815,                0.54605,                0.79595,                0.38435,                0.78653,             0.00023525,             0.00023525,             0.00023525
                     84,                0.71991,                0.33338,                 0.7773,                0.95211,                0.75142,                0.81991,                0.57818,                0.76899,                0.39014,                 0.7859,             0.00022288,             0.00022288,             0.00022288
                     85,                0.70533,                0.32797,                0.77976,                0.94456,                0.75103,                 0.8274,                0.58615,                0.75996,                0.37802,                0.78468,              0.0002105,              0.0002105,              0.0002105
                     86,                0.70975,                0.32838,                0.77841,                0.90193,                0.74215,                0.80692,                 0.5774,                0.75672,                0.37995,                0.78492,             0.00019813,             0.00019813,             0.00019813
                     87,                0.70149,                0.32603,                0.78019,                0.87484,                0.72912,                0.81176,                0.57137,                0.75808,                0.37787,                 0.7841,             0.00018575,             0.00018575,             0.00018575
                     88,                0.70557,                0.32757,                0.77814,                0.87653,                0.71479,                0.81956,                0.57942,                0.76653,                0.39459,                 0.7854,             0.00017338,             0.00017338,             0.00017338
                     89,                0.70869,                0.32932,                 0.7782,                0.87088,                0.72064,                0.80697,                0.56867,                0.77462,                0.38754,                0.78465,               0.000161,               0.000161,               0.000161
                     90,                0.69783,                0.32647,                0.77909,                0.92602,                0.73123,                0.81313,                0.57283,                0.75373,                0.37455,                0.78385,             0.00014862,             0.00014862,             0.00014862
                     91,                 0.6515,                 0.3142,                0.77581,                0.91019,                0.72344,                0.80676,                0.57169,                0.76807,                0.38206,                0.78476,             0.00013625,             0.00013625,             0.00013625
                     92,                0.63806,                0.30862,                0.77853,                0.93022,                0.72723,                0.80876,                0.56261,                0.76079,                0.38825,                0.78452,             0.00012387,             0.00012387,             0.00012387
                     93,                0.63586,                0.30936,                0.77588,                0.92996,                0.71755,                0.80324,                0.56008,                0.77608,                0.38571,                0.78587,              0.0001115,              0.0001115,              0.0001115
                     94,                0.64137,                0.30932,                  0.776,                0.92603,                0.71918,                0.81002,                  0.569,                0.76225,                0.38556,                 0.7861,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.63353,                0.30467,                0.77704,                0.94756,                0.71622,                0.80872,                0.57513,                0.74847,                0.38164,                0.78515,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.62482,                0.30044,                0.77539,                0.92196,                0.72354,                 0.8021,                0.56481,                0.74893,                0.37919,                0.78462,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                 0.6198,                0.30081,                0.77377,                0.93924,                0.71952,                0.80069,                0.57273,                0.75802,                0.38359,                0.78502,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.61509,                0.29927,                0.77248,                0.94254,                0.71447,                0.80511,                0.56827,                0.75195,                0.38074,                0.78543,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.61585,                0.29984,                0.77402,                0.96003,                0.71434,                0.80576,                0.57487,                0.75713,                0.38249,                0.78524,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.61374,                0.29528,                0.77492,                0.94672,                0.72248,                0.81483,                0.57763,                0.76218,                0.38383,                  0.786,             2.4875e-05,             2.4875e-05,             2.4875e-05
